response,covariates,n,OLS_HWI,OLS_HWI_lo,OLS_HWI_hi,OLS_R2,MLM_O_HWI,MLM_O_HWI_lo,MLM_O_HWI_hi,MLM_F_HWI,MLM_F_HWI_lo,MLM_F_HWI_hi,OLS_mass,MLM_O_mass,MLM_F_mass
ellipticity,base,1145,0.00133240476081734,0.000994527582409858,0.001670281939224822,0.13373410740189529,0.0006979156096548334,0.00024029849531055452,0.0011555327239991123,0.0009006707456897936,0.0004206884321938232,0.0013806530591857638,0.023811170619625358,0.06894114322943308,0.055400490979737996
ellipticity,+wing,1145,0.001867130277104132,0.0014804472120757569,0.002253813342132507,0.15513463505498237,0.00118102397200905,0.0006522227971442636,0.0017098251468738365,0.001033338830915378,0.0005119466757379749,0.001554730986092781,0.05098385947272556,0.09573919427229022,0.06395465044606985
ellipticity,+tarsus,1145,0.0015417237161419808,0.0011759710802178923,0.0019074763520660694,0.13998500327821706,0.0004814524898794802,-1.908878112333415e-05,0.0009819937608822945,0.0009968776312726736,0.0004773223294582377,0.0015164329330871096,0.006592486439235698,0.08503714519625498,0.04730543330440973
ellipticity,+all,1145,0.00309660598423278,0.0024393220983113927,0.0037538898701541673,0.17776731274070012,0.0006282637968861685,-0.0003745804342240405,0.0016311080279963774,0.0006812726354879574,-0.0002321072682121392,0.001594652539188054,0.025534189709728136,0.1039387200156752,0.056135181781971036
asymmetry,base,1145,0.0012877839038879062,0.001005429136989294,0.0015701386707865183,0.06851733646672531,0.0011126710618466925,0.0007911858676611548,0.0014341562560322302,0.000680679748883837,0.0003328073497538394,0.0010285521480138345,-0.004885736100730037,0.024385897309496977,0.016405902367906518
asymmetry,+wing,1145,0.0013336346075588214,0.0010064696458581724,0.0016607995692594704,0.06875960985053953,0.0010719957706717706,0.0006987767627361179,0.0014452147786074233,0.0006250304776276112,0.000246865819890369,0.0010031951353648536,-0.0025557801390302913,0.022226644553915115,0.012639678140692069
asymmetry,+tarsus,1145,0.0017496103966494437,0.0014506664386832956,0.002048554354615592,0.11536995446887055,0.0012186550390402093,0.0008689997854395418,0.0015683102926408769,0.0007378672495571853,0.00036092068486319456,0.001114813814251176,-0.04287581928581602,0.01617103822914139,0.011518330231740842
asymmetry,+all,1145,0.0023460070451426385,0.0017992365873694062,0.002892777502915871,0.12390766524738239,0.000717073204948578,3.24210343987198e-05,0.001401725375498436,0.00025365132662532935,-0.00041560206266671757,0.0009229047159173763,-0.035629517977202506,0.015995787348970756,0.00982538507007512
