species,order,family,log_mass,HWI,ellipticity,asymmetry,resid
Auriparus flaviceps,PASSERIFORMES,Remizidae,0.8325089127062363,14.4,0.3758,0.1049,0.03863896611504103
Remiz pendulinus,PASSERIFORMES,Remizidae,0.9684829485539351,19.4,0.4935,0.1551,0.1464392413435457
Rhinocrypta lanceolata,PASSERIFORMES,Rhinocryptidae,1.7916906490201179,6.9,0.2465,0.1155,-0.1035072381574273
Rhipidura albicollis,PASSERIFORMES,Rhipiduridae,1.110589710299249,17.6,0.3463,0.1567,-0.0017461584371032401
Rhipidura aureola,PASSERIFORMES,Rhipiduridae,1.0492180226701815,21.2,0.2975,0.1264,-0.05388148385069558
Rhipidura fuliginosa,PASSERIFORMES,Rhipiduridae,0.8750612633917001,20.0,0.3531,0.1059,0.0074642781720262175
Rhipidura javanica,PASSERIFORMES,Rhipiduridae,1.0969100130080565,14.7,0.3567,0.1606,0.012843544975492505
Rhipidura leucophrys,PASSERIFORMES,Rhipiduridae,1.437750562820388,19.4,0.3905,0.1685,0.03226543011398264
Sitta canadensis,PASSERIFORMES,Sittidae,0.9912260756924949,26.2,0.306,0.142,-0.05066265151073229
Sitta carolinensis,PASSERIFORMES,Sittidae,1.3222192947339193,31.2,0.3313,0.1137,-0.039906011327353386
Sitta pusilla,PASSERIFORMES,Sittidae,1.0086001717619175,23.3,0.3097,0.131,-0.04351237527023283
Sitta pygmaea,PASSERIFORMES,Sittidae,1.0253058652647702,18.0,0.3179,0.1334,-0.028648412156216496
Corcorax melanorhamphos,PASSERIFORMES,Struthideidae,2.561101383649056,22.6,0.308,0.0898,-0.08124656318108048
Acridotheres cristatellus,PASSERIFORMES,Sturnidae,2.0655797147284485,24.1,0.5732,0.2244,0.19375378068208365
Acridotheres fuscus,PASSERIFORMES,Sturnidae,1.91803033678488,24.7,0.4315,0.2213,0.05476766123862714
Acridotheres tristis,PASSERIFORMES,Sturnidae,2.06595298031387,23.6,0.3115,0.1541,-0.06728890482804861
Lamprotornis chalybaeus,PASSERIFORMES,Sturnidae,1.9355072658247128,26.0,0.4596,0.1541,0.08071938891029007
Lamprotornis superbus,PASSERIFORMES,Sturnidae,1.8122446968003694,28.4,0.3102,0.0983,-0.0689433564536196
Sturnus vulgaris,PASSERIFORMES,Sturnidae,1.887054378050957,38.4,0.4223,0.1935,0.0280512898539495
Chamaea fasciata,PASSERIFORMES,Sylviidae,1.167317334748176,11.8,0.2964,0.1153,-0.045268961968962074
Chrysomma sinense,PASSERIFORMES,Sylviidae,1.235528446907549,9.6,0.2966,0.0832,-0.04376185792494519
Sylvia atricapilla,PASSERIFORMES,Sylviidae,1.2227164711475833,27.0,0.3712,0.1449,0.007959367377628146
Sylvia borin,PASSERIFORMES,Sylviidae,1.2600713879850747,30.0,0.3418,0.1655,-0.026327311203123316
Sylvia communis,PASSERIFORMES,Sylviidae,1.1789769472931695,24.2,0.3286,0.14,-0.029868410026764658
Sylvia hortensis,PASSERIFORMES,Sylviidae,1.3404441148401183,23.2,0.2708,0.1104,-0.09018072754187534
Sylvia melanocephala,PASSERIFORMES,Sylviidae,1.0681858617461617,18.0,0.3555,0.0743,0.0079305649313961
Sylvia nisoria,PASSERIFORMES,Sylviidae,1.3521825181113625,27.2,0.3308,0.1265,-0.035789851708238285
Sakesphorus canadensis,PASSERIFORMES,Thamnophilidae,1.3873898263387294,9.4,0.2563,0.1653,-0.08741137418894923
Thamnophilus doliatus,PASSERIFORMES,Thamnophilidae,1.4313637641589874,9.0,0.3748,0.2022,0.030574516779122818
Coereba flaveola,PASSERIFORMES,Thraupidae,1.0,19.2,0.3786,0.1328,0.03105526440629941
Cyanerpes caeruleus,PASSERIFORMES,Thraupidae,1.0791812460476249,25.5,0.4097,0.2146,0.05187571625363563
Diuca diuca,PASSERIFORMES,Thraupidae,1.5658478186735176,23.5,0.4132,0.1204,0.04645242497960689
Eucometis penicillata,PASSERIFORMES,Thraupidae,1.4313637641589874,18.2,0.3847,0.1299,0.02821639297960321
Phrygilus gayi,PASSERIFORMES,Thraupidae,1.4082399653118496,21.2,0.3163,0.1424,-0.0436302165831256
Ramphocelus costaricensis,PASSERIFORMES,Thraupidae,1.505149978319906,15.0,0.4222,0.1915,0.0682231520794569
Saltator coerulescens,PASSERIFORMES,Thraupidae,1.739572344450092,14.5,0.3859,0.1597,0.0270074835028834
Saltator maxillosus,PASSERIFORMES,Thraupidae,1.7058637122839193,13.7,0.4147,0.1346,0.0576760493034002
Saltator striatipectus,PASSERIFORMES,Thraupidae,1.591064607026499,15.3,0.4113,0.1851,0.05487770276835724
Sporophila minuta,PASSERIFORMES,Thraupidae,0.8920946026904804,17.8,0.2499,0.1087,-0.09321001510244092
Sporophila torqueola,PASSERIFORMES,Thraupidae,0.9395192526186185,15.4,0.2846,0.1132,-0.05644148010749417
Tachyphonus rufus,PASSERIFORMES,Thraupidae,1.5365584425715302,16.2,0.3286,0.1185,-0.02772360593471973
Tangara icterocephala,PASSERIFORMES,Thraupidae,1.3424226808222062,21.9,0.4005,0.1637,0.041204286675005586
Volatinia jacarina,PASSERIFORMES,Thraupidae,0.9956351945975499,14.1,0.3354,0.1331,-0.005245540187372999
Pomatorhinus ochraceiceps,PASSERIFORMES,Timaliidae,1.5314789170422551,7.4,0.3581,0.1874,0.01362250540951715
Pomatorhinus ruficollis,PASSERIFORMES,Timaliidae,1.4996870826184039,10.0,0.3505,0.1953,0.0033152538251692287
Spelaeornis longicaudatus,PASSERIFORMES,Timaliidae,1.0791812460476249,7.0,0.2857,0.0564,-0.047474795671243575
Stachyris nigriceps,PASSERIFORMES,Timaliidae,1.1986570869544226,9.6,0.3265,0.1019,-0.012983907682123652
Campylorhynchus brunneicapillus,PASSERIFORMES,Troglodytidae,1.5899496013257077,13.7,0.4439,0.1681,0.0896360999766484
Campylorhynchus jocosus,PASSERIFORMES,Troglodytidae,1.4409090820652177,13.6,0.3357,0.1378,-0.014881830313920763
Campylorhynchus zonatus,PASSERIFORMES,Troglodytidae,1.5390760987927767,12.6,0.4501,0.1555,0.09851310286237702
Cistothorus palustris,PASSERIFORMES,Troglodytidae,1.0334237554869496,20.0,0.3027,0.1255,-0.046706518147002885
Cistothorus platensis,PASSERIFORMES,Troglodytidae,0.9542425094393249,13.4,0.3662,0.162,0.027472751433906095
Salpinctes obsoletus,PASSERIFORMES,Troglodytidae,1.2148438480476977,17.3,0.2717,0.1184,-0.07842885007058825
Thryomanes bewickii,PASSERIFORMES,Troglodytidae,0.9956351945975499,13.8,0.3151,0.1306,-0.025145818759127747
Thryothorus ludovicianus,PASSERIFORMES,Troglodytidae,1.2787536009528289,11.4,0.2931,0.0973,-0.05068942801244808
Troglodytes aedon,PASSERIFORMES,Troglodytidae,1.0374264979406236,12.9,0.3312,0.1471,-0.008841754328710594
Troglodytes troglodytes,PASSERIFORMES,Troglodytidae,0.9867717342662449,15.7,0.3439,0.1524,0.0013336615615482383
Catharus aurantiirostris,PASSERIFORMES,Turdidae,1.4742162640762553,16.4,0.3929,0.195,0.037794353362066935
Catharus fuscescens,PASSERIFORMES,Turdidae,1.503790683057181,28.5,0.367,0.1403,-0.004931945780154046
Catharus guttatus,PASSERIFORMES,Turdidae,1.4785664955938433,26.9,0.3589,0.1509,-0.01029948073141529
Catharus mexicanus,PASSERIFORMES,Turdidae,1.5185139398778875,21.1,0.3132,0.1257,-0.0492227285303401
Catharus minimus,PASSERIFORMES,Turdidae,1.4996870826184039,30.8,0.436,0.1736,0.0611012348001686
Catharus ustulatus,PASSERIFORMES,Turdidae,1.481442628502305,30.6,0.3553,0.1487,-0.018897862437847524
Hylocichla mustelina,PASSERIFORMES,Turdidae,1.6998377258672457,26.9,0.3865,0.1433,0.012031792251330331
Myadestes ralloides,PASSERIFORMES,Turdidae,1.4638929889859074,23.3,0.3892,0.1632,0.02514656977695684
Myadestes townsendi,PASSERIFORMES,Turdidae,1.5211380837040362,29.9,0.3493,0.1348,-0.024910374361907517
Psophocichla litsitsirupa,PASSERIFORMES,Turdidae,1.8692317197309762,32.2,0.3799,0.0662,-0.005663422270830665
Sialia currucoides,PASSERIFORMES,Turdidae,1.4712917110589385,36.6,0.3141,0.111,-0.06785058577556191
Sialia mexicana,PASSERIFORMES,Turdidae,1.421603926869831,37.2,0.3077,0.1102,-0.07386690432501436
Sialia sialis,PASSERIFORMES,Turdidae,1.4393326938302626,32.8,0.2858,0.1006,-0.09032646607238842
Turdus albicollis,PASSERIFORMES,Turdidae,1.7323937598229686,21.3,0.4333,0.2277,0.06551806163268936
Turdus cardis,PASSERIFORMES,Turdidae,1.7701152947871017,29.2,0.483,0.2113,0.10379387011716723
Turdus dissimilis,PASSERIFORMES,Turdidae,1.8750612633917,26.1,0.3568,0.1576,-0.020774561488584975
Turdus falcklandii,PASSERIFORMES,Turdidae,1.972665592266111,27.7,0.4664,0.1881,0.0843695175660647
Turdus grayi,PASSERIFORMES,Turdidae,1.9003671286564703,21.4,0.4222,0.1943,0.050285178611759906
Turdus iliacus,PASSERIFORMES,Turdidae,1.7867514221455612,32.3,0.3536,0.1867,-0.030132710308348576
Turdus merula,PASSERIFORMES,Turdidae,2.0115704435972783,23.1,0.423,0.2013,0.04617220941284683
Turdus migratorius,PASSERIFORMES,Turdidae,1.8948696567452525,29.0,0.4153,0.1706,0.0333898036712027
Turdus nigriceps,PASSERIFORMES,Turdidae,1.7218106152125465,22.6,0.3908,0.1898,0.021537932505637736
Turdus nudigenis,PASSERIFORMES,Turdidae,1.8055008581584002,19.7,0.3832,0.1802,0.015809143658026437
Turdus olivaceus,PASSERIFORMES,Turdidae,1.8280150642239767,21.7,0.3664,0.1717,-0.0041917554656011324
Turdus philomelos,PASSERIFORMES,Turdidae,1.8305886686851442,30.7,0.3278,0.161,-0.05484467884788946
Turdus pilaris,PASSERIFORMES,Turdidae,2.0253058652647704,33.3,0.3988,0.192,0.008054624383652842
Turdus ruficollis,PASSERIFORMES,Turdidae,1.9063350418050906,32.1,0.2785,0.1473,-0.10781365532721054
Turdus rufiventris,PASSERIFORMES,Turdidae,1.841359470454855,17.4,0.4301,0.2043,0.0649198390723324
Turdus serranus,PASSERIFORMES,Turdidae,1.9289076902439528,18.4,0.3164,0.2255,-0.05219719128732753
Turdus torquatus,PASSERIFORMES,Turdidae,2.037426497940624,31.6,0.3863,0.1812,-0.0024688939756202233
Turdus unicolor,PASSERIFORMES,Turdidae,1.8075350280688534,29.1,0.4065,0.1643,0.026536102939536232
Turdus viscivorus,PASSERIFORMES,Turdidae,2.0696680969115957,35.1,0.4116,0.174,0.017399979147371736
Cnemotriccus fuscatus,PASSERIFORMES,Tyrannidae,1.1335389083702174,14.1,0.3137,0.1107,-0.030229189045093974
Contopus cinereus,PASSERIFORMES,Tyrannidae,1.0644579892269184,22.1,0.2581,0.1201,-0.094843529579351
Contopus cooperi,PASSERIFORMES,Tyrannidae,1.506505032404872,37.9,0.3809,0.1693,-0.0036211823672761545
Contopus pertinax,PASSERIFORMES,Tyrannidae,1.4345689040341987,28.3,0.3856,0.1792,0.015582786762919687
Contopus sordidulus,PASSERIFORMES,Tyrannidae,1.1172712956557642,33.5,0.3309,0.1639,-0.03849049050303249
Contopus virens,PASSERIFORMES,Tyrannidae,1.1430148002540952,31.0,0.3468,0.1544,-0.019872461581327105
Elaenia chiriquensis,PASSERIFORMES,Tyrannidae,1.187520720836463,20.8,0.3541,0.1811,-4.1671089560435526e-05
Elaenia flavogaster,PASSERIFORMES,Tyrannidae,1.3944516808262162,16.4,0.3331,0.1449,-0.02010635853676307
Empidonax difficilis,PASSERIFORMES,Tyrannidae,1.0293837776852097,21.8,0.2992,0.1217,-0.052508650115737354
Empidonax flavescens,PASSERIFORMES,Tyrannidae,1.0969100130080565,20.5,0.2408,0.1039,-0.11078440263724812
Empidonax flaviventris,PASSERIFORMES,Tyrannidae,1.0718820073061255,24.1,0.3006,0.1466,-0.055185113662152896
Empidonax hammondii,PASSERIFORMES,Tyrannidae,1.0170333392987803,23.1,0.3278,0.1237,-0.02534669790915345
Empidonax minimus,PASSERIFORMES,Tyrannidae,1.0,22.8,0.3335,0.16,-0.018841392732643014
Empidonax oberholseri,PASSERIFORMES,Tyrannidae,1.0170333392987803,18.7,0.3266,0.1565,-0.020684116961557142
Empidonax occidentalis,PASSERIFORMES,Tyrannidae,1.0644579892269184,20.6,0.332,0.1393,-0.01894492243812501
Empidonax traillii,PASSERIFORMES,Tyrannidae,1.1271047983648077,23.5,0.3296,0.137,-0.026700590105652677
Empidonax virescens,PASSERIFORMES,Tyrannidae,1.100370545117563,27.5,0.3456,0.1636,-0.015393635283463603
Empidonax wrightii,PASSERIFORMES,Tyrannidae,1.089905111439398,21.3,0.2641,0.1294,-0.08838353153947698
Fluvicola pica,PASSERIFORMES,Tyrannidae,1.089905111439398,16.8,0.3815,0.1394,0.035012289884201075
Knipolegus signatus,PASSERIFORMES,Tyrannidae,1.250420002308894,18.5,0.3479,0.0858,-0.004674845662672511
Lathrotriccus euleri,PASSERIFORMES,Tyrannidae,1.0530784434834197,20.6,0.3917,0.2019,0.04102603786714726
Legatus leucophaius,PASSERIFORMES,Tyrannidae,1.3463529744506386,25.5,0.3594,0.1821,-0.004785955356108762
Lessonia rufa,PASSERIFORMES,Tyrannidae,1.1271047983648077,24.7,0.3726,0.1253,0.014700524181366526
Mionectes oleagineus,PASSERIFORMES,Tyrannidae,1.0492180226701815,17.1,0.3185,0.0818,-0.02741862433134451
Muscisaxicola maclovianus,PASSERIFORMES,Tyrannidae,1.376576957056512,33.9,0.3912,0.1631,0.01510217624639254
Myiarchus cinerascens,PASSERIFORMES,Tyrannidae,1.4502491083193612,20.4,0.368,0.1521,0.008135420353792056
Myiarchus crinitus,PASSERIFORMES,Tyrannidae,1.506505032404872,21.4,0.3382,0.1357,-0.024336503813790045
Myiarchus tuberculifer,PASSERIFORMES,Tyrannidae,1.2479732663618066,18.8,0.3091,0.1349,-0.043816307443820424
Myiarchus tyrannulus,PASSERIFORMES,Tyrannidae,1.550228353055094,16.6,0.3307,0.1379,-0.026482064409925843
Myiodynastes luteiventris,PASSERIFORMES,Tyrannidae,1.6711728427150832,26.0,0.3786,0.1893,0.006013500959593687
Myiophobus fasciatus,PASSERIFORMES,Tyrannidae,0.9956351945975499,18.7,0.4001,0.202,0.05332539791286728
Myiozetetes granadensis,PASSERIFORMES,Tyrannidae,1.4668676203541096,16.2,0.3746,0.148,0.01993581412372125
Myiozetetes similis,PASSERIFORMES,Tyrannidae,1.4471580313422192,16.4,0.3828,0.1542,0.028338641558362576
Pitangus sulphuratus,PASSERIFORMES,Tyrannidae,1.7986506454452689,18.1,0.3407,0.1422,-0.024395897140972733
Pyrocephalus rubinus,PASSERIFORMES,Tyrannidae,1.1583624920952498,22.4,0.3353,0.1591,-0.020279227147345202
Rhynchocyclus brevirostris,PASSERIFORMES,Tyrannidae,1.3856062735983121,17.3,0.4263,0.1218,0.072105096679205
Sayornis nigricans,PASSERIFORMES,Tyrannidae,1.2695129442179163,22.0,0.3365,0.1453,-0.02119288762295951
Sayornis phoebe,PASSERIFORMES,Tyrannidae,1.294466226161593,20.6,0.324,0.1575,-0.03242168781169574
Sayornis saya,PASSERIFORMES,Tyrannidae,1.320146286111054,25.6,0.3095,0.1459,-0.0541951839047613
Todirostrum cinereum,PASSERIFORMES,Tyrannidae,0.7993405494535817,15.0,0.4138,0.1242,0.07662930081513325
Tolmomyias sulphurescens,PASSERIFORMES,Tyrannidae,1.1553360374650619,15.7,0.4925,0.1643,0.14591994817770298
Tyrannus dominicensis,PASSERIFORMES,Tyrannidae,1.667452952889954,30.1,0.4091,0.1643,0.03113921637155498
Tyrannus forficatus,PASSERIFORMES,Tyrannidae,1.5943925503754266,37.5,0.3576,0.1696,-0.028480925148681502
Tyrannus melancholicus,PASSERIFORMES,Tyrannidae,1.57287160220048,23.7,0.3991,0.1532,0.031918699519487614
Tyrannus tyrannus,PASSERIFORMES,Tyrannidae,1.6009728956867482,33.3,0.3618,0.1503,-0.01884151087819258
Tyrannus verticalis,PASSERIFORMES,Tyrannidae,1.5976951859255124,33.2,0.3715,0.1633,-0.008930224295744416
Tyrannus vociferans,PASSERIFORMES,Tyrannidae,1.658964842664435,31.9,0.3654,0.1613,-0.01475700035709826
Pteruthius aenobarbus,PASSERIFORMES,Vireonidae,1.0718820073061255,17.1,0.3505,0.1305,0.004041719663568477
Vireo atricapilla,PASSERIFORMES,Vireonidae,0.9542425094393249,14.9,0.4149,0.2187,0.0741741442926801
Vireo bellii,PASSERIFORMES,Vireonidae,0.9294189257142927,19.4,0.382,0.1894,0.035869401456469385
Vireo cassinii,PASSERIFORMES,Vireonidae,1.167317334748176,27.9,0.3927,0.1736,0.029579321381878743
Vireo flavifrons,PASSERIFORMES,Vireonidae,1.255272505103306,33.8,0.4024,0.1763,0.029323817724852208
Vireo flavoviridis,PASSERIFORMES,Vireonidae,1.24551266781415,25.9,0.3587,0.1949,-0.0036177915137788896
Vireo gilvus,PASSERIFORMES,Vireonidae,1.1038037209559568,23.5,0.3602,0.163,0.004454235824150554
Vireo griseus,PASSERIFORMES,Vireonidae,1.0569048513364727,17.9,0.3565,0.1639,0.009332419471104747
Vireo huttoni,PASSERIFORMES,Vireonidae,1.0530784434834197,17.0,0.3778,0.1226,0.03192269500608974
Vireo olivaceus,PASSERIFORMES,Vireonidae,1.2068258760318498,29.8,0.4367,0.1917,0.07010700771888773
Vireo philadelphicus,PASSERIFORMES,Vireonidae,1.0606978403536116,25.6,0.4341,0.1488,0.07658258730416573
Vireo plumbeus,PASSERIFORMES,Vireonidae,1.2148438480476977,28.6,0.3425,0.1294,-0.022685023867824172
Vireo solitarius,PASSERIFORMES,Vireonidae,1.1846914308175989,29.3,0.3919,0.1655,0.026500257150863737
Vireo vicinior,PASSERIFORMES,Vireonidae,1.1072099696478683,15.5,0.3709,0.1642,0.025732367141913348
Zosterops japonicus,PASSERIFORMES,Zosteropidae,1.0530784434834197,19.9,0.2727,0.1414,-0.07704127880028055
Zosterops lateralis,PASSERIFORMES,Zosteropidae,1.1038037209559568,25.3,0.3581,0.147,-4.409274532068963e-05
Zosterops pallidus,PASSERIFORMES,Zosteropidae,1.0453229787866574,20.7,0.3948,0.1849,0.044177464084194595
Zosterops senegalensis,PASSERIFORMES,Zosteropidae,1.0374264979406236,19.2,0.3826,0.1789,0.03416409567814016
Ardea cinerea,PELECANIFORMES,Ardeidae,3.159266331093494,34.6,0.4232,0.0753,0.0037215720668327124
Ardea cocoi,PELECANIFORMES,Ardeidae,3.243633244506138,31.8,0.4012,0.0913,-0.016556569572798385
Ardea herodias,PELECANIFORMES,Ardeidae,3.401986098723474,36.6,0.4251,0.0735,-0.0028226792545952284
Ardea melanocephala,PELECANIFORMES,Ardeidae,3.0253058652647704,36.3,0.3606,0.0415,-0.0579537605184246
Ardea purpurea,PELECANIFORMES,Ardeidae,3.0271456657743414,33.9,0.3089,0.0875,-0.1064997968963024
Ardeola speciosa,PELECANIFORMES,Ardeidae,2.403120521175818,26.3,0.3192,0.0669,-0.0712147515251188
Botaurus lentiginosus,PELECANIFORMES,Ardeidae,2.8488047010518036,32.0,0.3573,0.0769,-0.0513217207112725
Butorides striata,PELECANIFORMES,Ardeidae,2.3042750504771283,29.8,0.3898,0.0385,-0.002924541820195803
Egretta ardesiaca,PELECANIFORMES,Ardeidae,2.510545010206612,21.1,0.3683,0.0714,-0.017744149605906923
Egretta caerulea,PELECANIFORMES,Ardeidae,2.5296869537729165,38.0,0.3812,0.0566,-0.027817582147968478
Egretta novaehollandiae,PELECANIFORMES,Ardeidae,2.747100931364986,37.5,0.3081,0.0458,-0.105428261083096
Egretta rufescens,PELECANIFORMES,Ardeidae,2.788168371141168,37.2,0.363,0.0647,-0.05110640347027268
Egretta thula,PELECANIFORMES,Ardeidae,2.569373909615046,31.9,0.3756,0.0587,-0.026234905983913148
Egretta tricolor,PELECANIFORMES,Ardeidae,2.570893036218392,35.5,0.3915,0.0493,-0.015167735305600671
Ixobrychus cinnamomeus,PELECANIFORMES,Ardeidae,2.1020905255118367,25.6,0.2598,0.0317,-0.12251419160416654
Ixobrychus exilis,PELECANIFORMES,Ardeidae,1.9360107957152095,29.0,0.3307,0.0394,-0.05218981500829667
Ixobrychus minutus,PELECANIFORMES,Ardeidae,1.9978230807457256,37.2,0.3355,0.0733,-0.0597873569122494
Ixobrychus sinensis,PELECANIFORMES,Ardeidae,1.9745116927373283,31.0,0.4167,0.0643,0.030228624042066388
Nyctanassa violacea,PELECANIFORMES,Ardeidae,2.8335932939984563,34.6,0.3739,0.0695,-0.037823771680685736
Nycticorax nycticorax,PELECANIFORMES,Ardeidae,2.90848501887865,33.1,0.4089,0.098,-0.0026084241785800932
Pelecanus erythrorhynchos,PELECANIFORMES,Pelecanidae,3.748846724209901,44.9,0.5804,0.1643,0.1331592036959336
Pelecanus occidentalis,PELECANIFORMES,Pelecanidae,3.535015474444193,48.1,0.5699,0.1434,0.12348708083329701
Scopus umbretta,PELECANIFORMES,Scopidae,2.673941998634088,36.1,0.3235,0.1085,-0.08642089458834662
Bostrychia hagedash,PELECANIFORMES,Threskiornithidae,3.0927206446840994,27.1,0.4308,0.136,0.022899138466057012
Eudocimus albus,PELECANIFORMES,Threskiornithidae,2.949243590568265,35.2,0.502,0.1598,0.08672301651898984
Eudocimus ruber,PELECANIFORMES,Threskiornithidae,2.8196097327515854,37.1,0.5071,0.1443,0.0923781813799901
Platalea ajaja,PELECANIFORMES,Threskiornithidae,3.173186268412274,33.6,0.4946,0.1711,0.07612252682513809
Plegadis chihi,PELECANIFORMES,Threskiornithidae,2.7902147702439795,38.6,0.4294,0.1286,0.013379502706390212
Plegadis falcinellus,PELECANIFORMES,Threskiornithidae,2.7969903905456865,38.9,0.4256,0.1072,0.009018445827087218
Phaethon aethereus,PHAETHONTIFORMES,Phaethontidae,2.8750612633917,68.4,0.4199,0.2451,-0.037846453490783805
Phaethon lepturus,PHAETHONTIFORMES,Phaethontidae,2.515873843711679,70.4,0.5206,0.2594,0.06874140992200545
Phaethon rubricauda,PHAETHONTIFORMES,Phaethontidae,2.827304641089735,68.8,0.4486,0.2577,-0.008542274313261655
Phoenicopterus ruber,PHOENICOPTERIFORMES,Phoenicopteridae,3.481671898393813,47.5,0.5955,0.1712,0.15115669668058407
Nystalus maculatus,PICIFORMES,Bucconidae,1.6232492903979006,17.5,0.1984,0.0422,-0.16171994269253595
Stactolaema leucotis,PICIFORMES,Lybiidae,1.739572344450092,19.9,0.3326,0.1099,-0.033487502205530206
Trachyphonus vaillantii,PICIFORMES,Lybiidae,1.841359470454855,14.2,0.4034,0.1652,0.0424835343069479
Tricholaema lacrymosa,PICIFORMES,Lybiidae,1.359835482339888,14.8,0.3922,0.1068,0.04194974128890544
Campethera caroli,PICIFORMES,Picidae,1.6454222693490919,17.5,0.3815,0.1301,0.020852092722511872
Campethera nivosa,PICIFORMES,Picidae,1.5774917998372253,11.3,0.2658,0.0934,-0.08496949376060237
Colaptes auratus,PICIFORMES,Picidae,2.1189257528257768,24.8,0.3103,0.1289,-0.07134913426550504
Colaptes chrysoides,PICIFORMES,Picidae,2.0453229787866576,27.5,0.3135,0.1239,-0.06999405890898863
Dendrocopos major,PICIFORMES,Picidae,1.8744818176994664,29.3,0.4606,0.2377,0.07877554055704211
Jynx torquilla,PICIFORMES,Picidae,1.5440680443502757,27.1,0.3484,0.113,-0.022625630236867866
Melanerpes aurifrons,PICIFORMES,Picidae,1.9074113607745862,24.2,0.336,0.1473,-0.03981328613137736
Melanerpes carolinus,PICIFORMES,Picidae,1.841984804590114,28.2,0.3829,0.1435,0.003314977717716272
Melanerpes erythrocephalus,PICIFORMES,Picidae,1.8549130223078556,29.1,0.3596,0.1092,-0.021492022564904234
Melanerpes formicivorus,PICIFORMES,Picidae,1.900913067737669,28.0,0.3047,0.0807,-0.0760216922582449
Melanerpes lewis,PICIFORMES,Picidae,2.024485667699167,31.4,0.3239,0.1136,-0.0642942767066178
Melanerpes uropygialis,PICIFORMES,Picidae,1.8109042806687004,21.8,0.3693,0.1281,-0.001017568155012638
Picoides arcticus,PICIFORMES,Picidae,1.8401060944567578,25.2,0.3338,0.096,-0.041743073712301626
Picoides tridactylus,PICIFORMES,Picidae,1.816241299991783,29.4,0.2656,0.1333,-0.11497092501492662
Picus canus,PICIFORMES,Picidae,2.1367205671564067,25.8,0.3719,0.2306,-0.011505254386493524
Picus viridis,PICIFORMES,Picidae,2.24551266781415,24.7,0.4624,0.2014,0.07786992357957656
Sphyrapicus nuchalis,PICIFORMES,Picidae,1.6857417386022637,31.7,0.3882,0.1209,0.007671891357225624
Sphyrapicus ruber,PICIFORMES,Picidae,1.7387805584843692,30.4,0.4252,0.1487,0.04514110115661174
Sphyrapicus thyroideus,PICIFORMES,Picidae,1.677606952720493,32.2,0.3424,0.1153,-0.03860061224859812
Sphyrapicus varius,PICIFORMES,Picidae,1.7015679850559273,33.9,0.3308,0.1166,-0.053036240571148974
Podiceps auritus,PODICIPEDIFORMES,Podicipedidae,2.656098202012832,42.2,0.536,0.1176,0.11837631805651827
Podiceps cristatus,PODICIPEDIFORMES,Podicipedidae,2.8639173769578603,42.9,0.4382,0.0995,0.014695216891300211
Podiceps grisegena,PODICIPEDIFORMES,Podicipedidae,3.00987563371216,40.9,0.5738,0.1229,0.14948458945801518
Podiceps major,PODICIPEDIFORMES,Podicipedidae,3.216429830876251,41.7,0.523,0.108,0.0927003684184875
Podiceps nigricollis,PODICIPEDIFORMES,Podicipedidae,2.6153186566114788,44.0,0.4736,0.1063,0.05454899820038944
Podilymbus podiceps,PODICIPEDIFORMES,Podicipedidae,2.6147917919564176,34.0,0.4591,0.0985,0.05338559107275792
Tachybaptus dominicus,PODICIPEDIFORMES,Podicipedidae,2.1225435240687545,23.4,0.4375,0.0477,0.05763008903130995
Tachybaptus ruficollis,PODICIPEDIFORMES,Podicipedidae,2.228913405994688,32.2,0.4704,0.0831,0.07627213572878949
Diomedea epomophora,PROCELLARIIFORMES,Diomedeidae,3.949663184653949,56.4,0.5967,0.1668,0.12935487394367168
Diomedea exulans,PROCELLARIIFORMES,Diomedeidae,3.8426903502580037,66.7,0.62,0.1925,0.14147825331871988
Phoebastria albatrus,PROCELLARIIFORMES,Diomedeidae,3.6445370577784075,66.3,0.5365,0.1359,0.06322947707911897
Phoebastria immutabilis,PROCELLARIIFORMES,Diomedeidae,3.4977449134117315,66.2,0.5738,0.1848,0.10415801035033628
Phoebastria irrorata,PROCELLARIIFORMES,Diomedeidae,3.5284538915976444,63.4,0.5548,0.1158,0.08815752696148571
Phoebastria nigripes,PROCELLARIIFORMES,Diomedeidae,3.5035728004579023,64.7,0.5606,0.1585,0.09281784867875403
Thalassarche bulleri,PROCELLARIIFORMES,Diomedeidae,3.444279064276847,66.4,0.4143,0.0576,-0.054335386145753284
Thalassarche chlororhynchos,PROCELLARIIFORMES,Diomedeidae,3.3281348615433326,67.5,0.54,0.1497,0.07266449804511577
Thalassarche chrysostoma,PROCELLARIIFORMES,Diomedeidae,3.5439439424829065,64.9,0.5331,0.1482,0.0640900835757241
Hydrobates pelagicus,PROCELLARIIFORMES,Hydrobatidae,1.4014005407815442,59.0,0.3166,0.0622,-0.09353226183759
Pelagodroma marina,PROCELLARIIFORMES,Oceanitidae,1.6739419986340878,54.1,0.3721,0.1011,-0.03799300966343333
Bulweria bulwerii,PROCELLARIIFORMES,Procellariidae,1.99563519459755,62.1,0.3937,0.2208,-0.03471213932623063
Calonectris leucomelas,PROCELLARIIFORMES,Procellariidae,2.7634279935629373,61.0,0.5493,0.163,0.10407146057398386
Fulmarus glacialis,PROCELLARIIFORMES,Procellariidae,2.7866804531966487,51.1,0.4954,0.1653,0.0628085994224113
