order,family,species,asymmetry,ellipticity,egg_length_cm,Species1,Family1,Order1,Mass,Hand.Wing.Index,Wing.Length,Kipps.Distance,Tail.Length,Tarsus.Length,Beak.Length_Culmen,Migration,Primary.Lifestyle,_merge
COLIIFORMES,Coliidae,Urocolius indicus,0.1388,0.3983,2.1728,Urocolius indicus,Coliidae,Coliiformes,52.7,32.0,94.6,29.9,210.4,20.7,14.2,1,Insessorial,both
COLUMBIFORMES,Columbidae,Chalcophaps indica,0.0673,0.3296,2.7615,Chalcophaps indica,Columbidae,Columbiformes,136.5,28.7,143.9,40.0,83.9,25.8,20.9,1,Generalist,both
COLUMBIFORMES,Columbidae,Columba delegorguei,0.0394,0.2021,3.1377,Columba delegorguei,Columbidae,Columbiformes,133.0,35.9,173.3,62.1,111.0,21.6,21.3,1,Insessorial,both
COLUMBIFORMES,Columbidae,Columba livia,0.0623,0.3308,3.8068,Columba livia,Columbidae,Columbiformes,354.2,45.1,219.6,98.8,105.5,26.5,23.2,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Columba oenas,0.0295,0.2923,3.6921,Columba oenas,Columbidae,Columbiformes,290.8,42.5,214.8,91.6,119.4,26.4,23.2,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Columba palumbus,0.0654,0.4041,4.0881,Columba palumbus,Columbidae,Columbiformes,490.0,41.2,246.4,101.4,153.2,31.5,27.8,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Columba rupestris,0.0468,0.2993,3.654,Columba rupestris,Columbidae,Columbiformes,245.4,48.6,222.8,105.5,113.0,27.5,20.2,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Columbina inca,0.0406,0.339,2.2077,Columbina inca,Columbidae,Columbiformes,47.5,26.0,92.5,24.2,88.7,15.5,16.1,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Columbina minuta,0.0636,0.277,2.0563,Columbina minuta,Columbidae,Columbiformes,32.6,18.7,76.0,14.8,52.4,15.5,12.4,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Columbina passerina,0.0562,0.3584,2.2254,Columbina passerina,Columbidae,Columbiformes,35.4,25.4,81.6,21.6,59.6,15.2,13.9,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Columbina talpacoti,0.0704,0.3226,2.2689,Columbina talpacoti,Columbidae,Columbiformes,46.0,19.9,86.8,17.7,65.8,16.4,14.2,2,Terrestrial,both
COLUMBIFORMES,Columbidae,Didunculus strigirostris,0.102,0.6292,4.8847,Didunculus strigirostris,Columbidae,Columbiformes,400.0,30.1,188.0,56.5,99.5,38.7,22.6,1,Insessorial,both
COLUMBIFORMES,Columbidae,Gallicolumba jobiensis,0.0335,0.3157,3.0988,,,,,,,,,,,,,left_only
COLUMBIFORMES,Columbidae,Gallicolumba kubaryi,0.0581,0.3681,3.2371,,,,,,,,,,,,,left_only
COLUMBIFORMES,Columbidae,Gallicolumba rubescens,0.0313,0.3069,2.866,,,,,,,,,,,,,left_only
COLUMBIFORMES,Columbidae,Gallicolumba rufigula,0.014,0.4128,3.2657,Gallicolumba rufigula,Columbidae,Columbiformes,130.0,28.4,129.8,36.8,75.2,31.3,18.8,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Gallicolumba stairi,0.0278,0.2182,2.956,,,,,,,,,,,,,left_only
COLUMBIFORMES,Columbidae,Geopelia striata,0.0871,0.3714,2.4211,Geopelia striata,Columbidae,Columbiformes,56.6,27.7,97.0,27.1,95.0,15.5,17.2,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Geophaps smithii,0.036,0.3983,2.929,Geophaps smithii,Columbidae,Columbiformes,194.0,24.3,132.8,31.7,81.4,29.6,20.2,2,Terrestrial,both
COLUMBIFORMES,Columbidae,Geotrygon chrysia,0.0506,0.3381,3.1386,Geotrygon chrysia,Columbidae,Columbiformes,169.0,32.3,152.8,49.4,92.0,30.2,23.9,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Geotrygon montana,0.0128,0.3415,2.8203,Geotrygon montana,Columbidae,Columbiformes,133.9,27.1,136.5,36.7,76.3,26.9,19.5,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Leptotila verreauxi,0.0481,0.3336,2.8596,Leptotila verreauxi,Columbidae,Columbiformes,146.9,22.1,136.7,29.8,102.1,27.7,19.5,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Macropygia unchall,0.1167,0.451,3.3471,Macropygia unchall,Columbidae,Columbiformes,168.0,35.9,174.8,61.9,166.4,21.9,22.1,1,Insessorial,both
COLUMBIFORMES,Columbidae,Oena capensis,0.0441,0.3775,2.2235,Oena capensis,Columbidae,Columbiformes,40.6,39.3,102.5,40.2,125.8,14.3,13.6,2,Terrestrial,both
COLUMBIFORMES,Columbidae,Patagioenas fasciata,0.0712,0.4512,4.1363,Patagioenas fasciata,Columbidae,Columbiformes,366.3,36.2,206.9,74.7,141.5,25.9,24.9,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Patagioenas flavirostris,0.0758,0.3823,3.9826,Patagioenas flavirostris,Columbidae,Columbiformes,270.8,35.6,186.9,68.6,114.8,23.1,23.0,1,Insessorial,both
COLUMBIFORMES,Columbidae,Patagioenas leucocephala,0.0469,0.3662,3.524,Patagioenas leucocephala,Columbidae,Columbiformes,240.1,33.9,190.8,64.7,121.5,26.7,27.8,1,Insessorial,both
COLUMBIFORMES,Columbidae,Phapitreron leucotis,0.0806,0.2555,2.5355,Phapitreron leucotis,Columbidae,Columbiformes,108.0,34.9,128.8,44.9,77.2,21.8,18.4,1,Insessorial,both
COLUMBIFORMES,Columbidae,Ptilinopus leclancheri,0.0713,0.2897,3.0549,,,,,,,,,,,,,left_only
COLUMBIFORMES,Columbidae,Ptilinopus perousii,0.0173,0.4482,3.1422,Ptilinopus perousii,Columbidae,Columbiformes,93.5,28.2,128.6,36.6,74.2,22.8,13.4,1,Insessorial,both
COLUMBIFORMES,Columbidae,Starnoenas cyanocephala,0.0892,0.4086,3.3922,Starnoenas cyanocephala,Columbidae,Columbiformes,219.0,30.2,140.3,42.3,96.0,32.9,22.8,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Stigmatopelia chinensis,0.0292,0.3397,2.8745,,,,,,,,,,,,,left_only
COLUMBIFORMES,Columbidae,Stigmatopelia senegalensis,0.0586,0.2636,2.4657,,,,,,,,,,,,,left_only
COLUMBIFORMES,Columbidae,Streptopelia bitorquata,0.0014,0.33,2.9621,Streptopelia bitorquata,Columbidae,Columbiformes,153.0,31.0,160.8,49.2,115.8,26.2,21.8,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Streptopelia capicola,0.0245,0.3246,3.0025,Streptopelia capicola,Columbidae,Columbiformes,142.0,32.6,151.1,49.1,107.2,22.4,21.1,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Streptopelia orientalis,0.056,0.3363,3.2469,Streptopelia orientalis,Columbidae,Columbiformes,232.9,32.8,176.5,57.2,127.2,25.5,21.9,3,Terrestrial,both
COLUMBIFORMES,Columbidae,Streptopelia tranquebarica,0.0295,0.3292,2.6889,Streptopelia tranquebarica,Columbidae,Columbiformes,103.0,39.6,134.8,53.2,82.3,17.1,15.7,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Treron apicauda,0.0585,0.414,3.2636,Treron apicauda,Columbidae,Columbiformes,217.2,35.3,163.6,57.6,172.3,23.8,21.0,1,Insessorial,both
COLUMBIFORMES,Columbidae,Treron pompadora,0.0233,0.3218,3.0102,Treron pompadora,Columbidae,Columbiformes,234.0,37.8,150.5,56.8,84.6,22.0,18.6,1,Insessorial,both
COLUMBIFORMES,Columbidae,Treron sphenurus,0.0449,0.4022,3.0684,Treron sphenurus,Columbidae,Columbiformes,210.0,37.1,170.7,62.9,117.0,22.3,20.3,2,Insessorial,both
COLUMBIFORMES,Columbidae,Treron vernans,0.0145,0.2274,2.7382,Treron vernans,Columbidae,Columbiformes,132.0,32.8,137.4,44.4,79.8,20.6,19.4,1,Insessorial,both
COLUMBIFORMES,Columbidae,Turtur afer,0.0386,0.3229,2.2389,Turtur afer,Columbidae,Columbiformes,65.6,28.2,105.2,29.5,80.4,18.0,17.5,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Turtur chalcospilos,0.0354,0.3135,2.2956,Turtur chalcospilos,Columbidae,Columbiformes,60.6,28.4,110.5,31.4,74.6,18.5,16.5,1,Terrestrial,both
COLUMBIFORMES,Columbidae,Zenaida asiatica,0.0668,0.3556,3.075,Zenaida asiatica,Columbidae,Columbiformes,153.0,35.2,160.8,57.0,116.2,24.8,24.0,1,Generalist,both
COLUMBIFORMES,Columbidae,Zenaida macroura,0.0576,0.35,2.8693,Zenaida macroura,Columbidae,Columbiformes,118.9,36.6,144.4,53.1,122.2,19.6,19.6,1,Terrestrial,both
CORACIIFORMES,Alcedinidae,Actenoides lindsayi,0.2679,0.3557,3.5683,Actenoides lindsayi,Alcedinidae,Coraciiformes,92.8,20.1,106.0,21.4,81.2,18.3,46.5,1,Insessorial,both
CORACIIFORMES,Alcedinidae,Alcedo atthis,0.0785,0.2403,2.1945,Alcedo atthis,Alcedinidae,Coraciiformes,31.1,26.9,73.3,19.3,32.3,9.9,42.2,1,Insessorial,both
CORACIIFORMES,Alcedinidae,Alcedo cristata,0.0644,0.2107,1.8721,,,,,,,,,,,,,left_only
CORACIIFORMES,Alcedinidae,Alcedo hercules,0.0326,0.1696,2.4565,Alcedo hercules,Alcedinidae,Coraciiformes,62.5,26.0,96.0,25.0,45.2,12.2,56.5,1,Insessorial,both
CORACIIFORMES,Alcedinidae,Ceryle rudis,0.0444,0.2753,2.9947,Ceryle rudis,Alcedinidae,Coraciiformes,84.4,34.5,136.2,47.5,75.7,11.0,64.2,1,Insessorial,both
CORACIIFORMES,Alcedinidae,Chloroceryle americana,0.0747,0.4055,2.584,Chloroceryle americana,Alcedinidae,Coraciiformes,33.7,25.6,76.8,19.7,57.8,7.8,42.0,1,Insessorial,both
CORACIIFORMES,Alcedinidae,Halcyon albiventris,0.0386,0.1267,2.7538,Halcyon albiventris,Alcedinidae,Coraciiformes,65.1,20.6,100.3,20.7,64.4,14.4,49.2,1,Insessorial,both
CORACIIFORMES,Alcedinidae,Halcyon chelicuti,0.0163,0.1712,2.4607,Halcyon chelicuti,Alcedinidae,Coraciiformes,43.2,26.5,79.1,21.0,44.3,10.7,36.1,1,Insessorial,both
CORACIIFORMES,Alcedinidae,Megaceryle alcyon,0.0937,0.3016,3.4525,Megaceryle alcyon,Alcedinidae,Coraciiformes,148.0,33.6,158.8,53.2,94.3,12.5,58.6,2,Insessorial,both
CORACIIFORMES,Alcedinidae,Todiramphus chloris,0.0682,0.2363,2.9435,Todiramphus chloris,Alcedinidae,Coraciiformes,66.1,23.8,107.3,25.4,67.3,15.7,50.5,1,Insessorial,both
CORACIIFORMES,Alcedinidae,Todiramphus macleayii,0.1176,0.2607,2.7211,Todiramphus macleayii,Alcedinidae,Coraciiformes,37.3,30.9,87.8,27.1,56.2,13.0,40.4,3,Insessorial,both
CORACIIFORMES,Alcedinidae,Todiramphus pyrrhopygius,0.0819,0.2208,2.635,Todiramphus pyrrhopygius,Alcedinidae,Coraciiformes,51.7,36.5,100.2,36.8,67.8,15.3,41.7,1,Insessorial,both
CORACIIFORMES,Coraciidae,Coracias naevia,0.1031,0.2511,3.7183,,,,,,,,,,,,,left_only
CORACIIFORMES,Meropidae,Merops apiaster,0.0384,0.1732,2.5503,Merops apiaster,Meropidae,Coraciiformes,56.6,45.5,143.8,65.2,102.3,12.9,41.8,3,Insessorial,both
CORACIIFORMES,Meropidae,Merops bullockoides,0.0247,0.2185,2.4525,Merops bullockoides,Meropidae,Coraciiformes,34.8,25.2,111.8,28.5,92.0,12.4,37.5,1,Insessorial,both
CORACIIFORMES,Meropidae,Merops ornatus,0.0162,0.1782,2.2464,Merops ornatus,Meropidae,Coraciiformes,29.5,38.0,108.2,40.5,106.7,10.7,37.0,3,Insessorial,both
CORACIIFORMES,Meropidae,Merops pusillus,0.0214,0.1879,1.8473,Merops pusillus,Meropidae,Coraciiformes,15.1,31.0,79.1,24.2,64.3,9.1,29.0,1,Insessorial,both
CORACIIFORMES,Meropidae,Merops superciliosus,0.0181,0.1453,2.2946,Merops superciliosus,Meropidae,Coraciiformes,38.5,45.9,137.0,60.2,83.8,12.2,45.1,2,Generalist,both
CORACIIFORMES,Meropidae,Merops viridis,0.0234,0.1551,2.0613,Merops viridis,Meropidae,Coraciiformes,34.8,19.8,111.6,22.1,75.8,9.7,35.1,1,Insessorial,both
CUCULIFORMES,Cuculidae,Centropus bengalensis,0.1091,0.237,2.8014,Centropus bengalensis,Cuculidae,Cuculiformes,148.9,18.6,154.6,29.6,185.2,39.3,28.2,1,Terrestrial,both
CUCULIFORMES,Cuculidae,Centropus senegalensis,0.0738,0.3287,3.3937,Centropus senegalensis,Cuculidae,Cuculiformes,169.0,13.0,165.8,21.8,204.2,39.6,30.0,1,Terrestrial,both
CUCULIFORMES,Cuculidae,Centropus superciliosus,0.1522,0.3655,3.357,Centropus superciliosus,Cuculidae,Cuculiformes,148.5,14.9,157.9,23.7,209.1,38.9,31.5,1,Terrestrial,both
CUCULIFORMES,Cuculidae,Centropus viridis,0.0221,0.2088,2.7531,Centropus viridis,Cuculidae,Cuculiformes,142.0,14.8,163.0,24.5,239.8,40.8,29.9,1,Terrestrial,both
CUCULIFORMES,Cuculidae,Coccyzus americanus,0.041,0.3201,3.1167,Coccyzus americanus,Cuculidae,Cuculiformes,64.0,43.0,143.4,62.4,146.3,24.5,29.2,3,Insessorial,both
CUCULIFORMES,Cuculidae,Coccyzus erythropthalmus,0.0713,0.353,2.8341,Coccyzus erythropthalmus,Cuculidae,Cuculiformes,50.9,40.8,136.9,55.3,143.4,22.9,27.0,3,Insessorial,both
CUCULIFORMES,Cuculidae,Coccyzus minor,0.0412,0.417,3.2854,Coccyzus minor,Cuculidae,Cuculiformes,63.9,31.7,135.0,43.0,155.3,28.1,31.3,2,Insessorial,both
CUCULIFORMES,Cuculidae,Crotophaga ani,0.0466,0.3432,3.5164,Crotophaga ani,Cuculidae,Cuculiformes,110.1,24.8,144.0,35.5,180.6,35.8,30.6,1,Insessorial,both
CUCULIFORMES,Cuculidae,Crotophaga sulcirostris,0.059,0.3161,3.1316,Crotophaga sulcirostris,Cuculidae,Cuculiformes,82.0,19.3,129.3,24.8,162.7,33.8,26.9,1,Terrestrial,both
CUCULIFORMES,Cuculidae,Cuculus pallidus,0.1177,0.3831,2.3096,,,,,,,,,,,,,left_only
CUCULIFORMES,Cuculidae,Geococcyx californianus,0.0961,0.3299,4.0318,Geococcyx californianus,Cuculidae,Cuculiformes,376.0,6.5,181.0,12.0,287.4,59.5,57.8,1,Terrestrial,both
CUCULIFORMES,Cuculidae,Geococcyx velox,0.0893,0.3246,3.5426,Geococcyx velox,Cuculidae,Cuculiformes,179.9,6.5,141.7,9.3,269.3,47.7,42.8,1,Terrestrial,both
CUCULIFORMES,Cuculidae,Guira guira,0.0521,0.3644,4.0837,Guira guira,Cuculidae,Cuculiformes,141.0,24.9,173.6,43.2,213.8,36.4,30.7,1,Terrestrial,both
CUCULIFORMES,Cuculidae,Phaenicophaeus superciliosus,0.0393,0.2536,3.2712,,,,,,,,,,,,,left_only
EURYPYGIFORMES,Rhynochetidae,Rhynochetos jubatus,0.145,0.3278,6.555,Rhynochetos jubatus,Rhynochetidae,Eurypygiformes,860.0,14.0,264.3,37.1,183.5,100.0,67.2,1,Terrestrial,both
EXTINCT,Aepyornithidae,,0.0044,0.4499,23.87,,,,,,,,,,,,,left_only
EXTINCT,Columbidae,,0.0872,0.3391,3.929,,,,,,,,,,,,,left_only
EXTINCT,Dinornithidae,,0.005,0.3318,14.4235,,,,,,,,,,,,,left_only
EXTINCT,Rallidae,,0.0523,0.4494,2.999,,,,,,,,,,,,,left_only
FALCONIFORMES,Falconidae,Caracara cheriway,0.1475,0.2682,5.9988,Caracara cheriway,Falconidae,Falconiformes,1078.6,42.4,386.0,164.8,207.3,94.8,48.3,1,Terrestrial,both
FALCONIFORMES,Falconidae,Falco biarmicus,0.127,0.2896,5.2158,Falco biarmicus,Falconidae,Falconiformes,606.1,50.6,330.8,169.2,169.8,46.9,28.2,2,Aerial,both
FALCONIFORMES,Falconidae,Falco columbarius,0.1012,0.2717,3.9778,Falco columbarius,Falconidae,Falconiformes,188.5,48.9,199.6,98.8,116.6,34.3,16.6,3,Aerial,both
FALCONIFORMES,Falconidae,Falco femoralis,0.1058,0.2397,4.5399,Falco femoralis,Falconidae,Falconiformes,335.8,44.6,245.1,112.7,167.6,40.5,21.4,2,Aerial,both
FALCONIFORMES,Falconidae,Falco mexicanus,0.1197,0.3086,5.2862,Falco mexicanus,Falconidae,Falconiformes,713.1,50.5,325.0,166.0,188.4,55.6,31.1,3,Aerial,both
FALCONIFORMES,Falconidae,Falco peregrinus,0.1175,0.2855,5.336,Falco peregrinus,Falconidae,Falconiformes,760.0,52.2,314.7,165.0,143.0,45.1,31.1,2,Aerial,both
FALCONIFORMES,Falconidae,Falco rusticolus,0.1233,0.2796,5.9904,Falco rusticolus,Falconidae,Falconiformes,1431.7,47.5,368.0,174.2,201.8,56.7,36.0,3,Aerial,both
FALCONIFORMES,Falconidae,Falco sparverius,0.0924,0.2442,3.5432,Falco sparverius,Falconidae,Falconiformes,114.6,43.7,182.4,77.9,126.5,33.7,17.1,3,Insessorial,both
FALCONIFORMES,Falconidae,Falco subbuteo,0.1022,0.2116,3.9517,Falco subbuteo,Falconidae,Falconiformes,208.2,57.8,260.7,150.2,129.2,31.7,17.9,3,Aerial,both
FALCONIFORMES,Falconidae,Falco tinnunculus,0.1075,0.2936,4.0485,Falco tinnunculus,Falconidae,Falconiformes,183.2,51.0,241.0,123.2,154.5,39.1,20.8,3,Aerial,both
FALCONIFORMES,Falconidae,Phalcoboenus australis,0.1447,0.3222,6.5768,Phalcoboenus australis,Falconidae,Falconiformes,1187.0,39.4,420.2,165.5,253.8,87.3,47.0,2,Terrestrial,both
GALLIFORMES,Cracidae,Ortalis vetula,0.1178,0.459,6.0847,Ortalis vetula,Cracidae,Galliformes,562.6,11.4,198.0,22.1,230.4,61.1,28.3,1,Insessorial,both
GALLIFORMES,Megapodiidae,Macrocephalon maleo,0.0365,0.7237,8.34,Macrocephalon maleo,Megapodiidae,Galliformes,1563.3,22.0,290.8,64.7,132.0,82.2,42.5,1,Terrestrial,both
GALLIFORMES,Megapodiidae,Megapodius freycinet,0.0551,0.6199,8.9621,Megapodius freycinet,Megapodiidae,Galliformes,642.5,25.1,210.2,53.4,75.9,63.4,26.7,1,Terrestrial,both
GALLIFORMES,Megapodiidae,Megapodius pritchardii,0.0221,0.7072,7.9284,Megapodius pritchardii,Megapodiidae,Galliformes,365.0,18.8,177.0,33.4,55.6,54.0,24.3,1,Terrestrial,both
GALLIFORMES,Numididae,Numida meleagris,0.226,0.3197,5.2572,Numida meleagris,Numididae,Galliformes,1299.0,20.4,253.8,51.5,138.4,67.3,26.1,1,Terrestrial,both
GALLIFORMES,Odontophoridae,Callipepla californica,0.2364,0.285,3.0381,Callipepla californica,Odontophoridae,Galliformes,165.7,26.2,108.2,28.3,82.2,28.5,14.1,1,Terrestrial,both
GALLIFORMES,Odontophoridae,Callipepla gambelii,0.2363,0.3129,3.1663,Callipepla gambelii,Odontophoridae,Galliformes,166.0,28.4,112.8,32.0,87.8,30.7,14.9,1,Terrestrial,both
GALLIFORMES,Odontophoridae,Callipepla squamata,0.2005,0.285,3.1058,Callipepla squamata,Odontophoridae,Galliformes,183.9,24.2,116.0,27.8,79.4,31.7,14.0,1,Terrestrial,both
GALLIFORMES,Odontophoridae,Colinus virginianus,0.253,0.276,2.9429,Colinus virginianus,Odontophoridae,Galliformes,171.9,27.6,109.8,30.3,56.8,29.6,14.9,1,Terrestrial,both
GALLIFORMES,Odontophoridae,Cyrtonyx montezumae,0.239,0.309,3.0475,Cyrtonyx montezumae,Odontophoridae,Galliformes,185.4,25.5,120.2,30.6,51.0,29.0,15.8,1,Terrestrial,both
GALLIFORMES,Odontophoridae,Oreortyx pictus,0.2602,0.3102,3.3563,Oreortyx pictus,Odontophoridae,Galliformes,233.0,31.6,134.0,41.4,73.0,35.0,15.4,1,Terrestrial,both
GALLIFORMES,Odontophoridae,Ptilopachus petrosus,0.1789,0.2764,3.4575,Ptilopachus petrosus,Odontophoridae,Galliformes,193.0,21.2,117.2,24.8,75.5,28.0,16.9,1,Terrestrial,both
GALLIFORMES,Phasianidae,Alectoris barbara,0.1611,0.354,4.0471,Alectoris barbara,Phasianidae,Galliformes,416.3,28.5,163.0,45.8,97.2,41.4,22.6,1,Terrestrial,both
GALLIFORMES,Phasianidae,Alectoris chukar,0.2343,0.3746,4.0514,Alectoris chukar,Phasianidae,Galliformes,502.1,29.0,153.8,44.9,81.7,39.8,21.8,1,Terrestrial,both
GALLIFORMES,Phasianidae,Arborophila atrogularis,0.172,0.2938,3.7187,Arborophila atrogularis,Phasianidae,Galliformes,237.3,27.4,129.2,34.3,48.6,37.6,21.3,1,Terrestrial,both
GALLIFORMES,Phasianidae,Arborophila rufogularis,0.1614,0.3157,4.0039,Arborophila rufogularis,Phasianidae,Galliformes,344.5,25.5,135.0,34.1,49.0,37.1,22.2,1,Terrestrial,both
GALLIFORMES,Phasianidae,Bambusicola fytchii,0.1685,0.3863,3.9951,Bambusicola fytchii,Phasianidae,Galliformes,313.7,18.5,142.8,26.0,100.8,45.2,21.6,1,Terrestrial,both
GALLIFORMES,Phasianidae,Bonasa umbellus,0.1659,0.3471,3.9759,Bonasa umbellus,Phasianidae,Galliformes,530.9,38.3,183.2,69.8,152.0,42.2,25.4,1,Generalist,both
GALLIFORMES,Phasianidae,Centrocercus urophasianus,0.1925,0.5007,5.6912,Centrocercus urophasianus,Phasianidae,Galliformes,1902.5,38.7,306.0,115.6,242.0,49.4,36.8,1,Terrestrial,both
GALLIFORMES,Phasianidae,Coturnix chinensis,0.1432,0.2764,2.4148,,,,,,,,,,,,,left_only
GALLIFORMES,Phasianidae,Coturnix coturnix,0.1964,0.298,2.9223,Coturnix coturnix,Phasianidae,Galliformes,96.3,41.0,106.2,43.2,38.3,24.5,15.6,3,Terrestrial,both
GALLIFORMES,Phasianidae,Dendragapus canadensis,0.1514,0.3562,4.1365,,,,,,,,,,,,,left_only
GALLIFORMES,Phasianidae,Dendragapus obscurus,0.2066,0.4534,5.0218,Dendragapus obscurus,Phasianidae,Galliformes,1047.3,39.4,226.5,89.3,146.2,38.4,26.4,1,Generalist,both
GALLIFORMES,Phasianidae,Francolinus coqui,0.0799,0.2237,3.1871,,,,,,,,,,,,,left_only
GALLIFORMES,Phasianidae,Francolinus hildebrandti,0.187,0.2517,4.5263,,,,,,,,,,,,,left_only
GALLIFORMES,Phasianidae,Francolinus pintadeanus,0.1624,0.2232,3.7141,Francolinus pintadeanus,Phasianidae,Galliformes,310.0,25.0,149.4,37.4,72.4,37.9,26.9,1,Terrestrial,both
GALLIFORMES,Phasianidae,Francolinus shelleyi,0.1903,0.2226,3.8494,,,,,,,,,,,,,left_only
GALLIFORMES,Phasianidae,Francolinus squamatus,0.2473,0.3663,4.4644,,,,,,,,,,,,,left_only
GALLIFORMES,Phasianidae,Gallus gallus,0.0553,0.2838,5.419,Gallus gallus,Phasianidae,Galliformes,751.7,22.5,218.2,48.9,194.0,68.1,30.9,1,Terrestrial,both
GALLIFORMES,Phasianidae,Gallus sonneratii,0.1521,0.3543,4.6615,Gallus sonneratii,Phasianidae,Galliformes,840.8,21.2,218.0,45.2,219.0,67.5,36.4,1,Terrestrial,both
GALLIFORMES,Phasianidae,Lagopus lagopus,0.1625,0.3934,4.3524,Lagopus lagopus,Phasianidae,Galliformes,566.9,39.0,195.6,75.7,108.8,35.6,22.8,1,Terrestrial,both
GALLIFORMES,Phasianidae,Lagopus muta,0.1894,0.4124,4.3231,Lagopus muta,Phasianidae,Galliformes,535.3,46.1,188.6,85.8,89.8,30.5,18.9,1,Terrestrial,both
GALLIFORMES,Phasianidae,Lophura leucomelanos,0.1336,0.4087,4.9321,Lophura leucomelanos,Phasianidae,Galliformes,868.0,17.8,212.2,37.0,222.0,67.4,35.8,1,Terrestrial,both
GALLIFORMES,Phasianidae,Lophura nycthemera,0.0979,0.3307,5.1077,Lophura nycthemera,Phasianidae,Galliformes,1230.0,19.5,254.8,49.5,439.5,90.6,39.8,1,Terrestrial,both
GALLIFORMES,Phasianidae,Lophura swinhoii,0.1542,0.3848,5.537,Lophura swinhoii,Phasianidae,Galliformes,1100.0,24.9,237.8,58.4,360.2,84.4,36.0,1,Terrestrial,both
GALLIFORMES,Phasianidae,Meleagris gallopavo,0.1991,0.414,6.1325,Meleagris gallopavo,Phasianidae,Galliformes,5791.4,26.0,448.8,115.0,351.2,149.2,48.6,1,Terrestrial,both
GALLIFORMES,Phasianidae,Meleagris ocellata,0.2184,0.3644,5.9453,Meleagris ocellata,Phasianidae,Galliformes,5525.0,26.6,362.5,96.9,305.2,123.0,39.8,1,Terrestrial,both
GALLIFORMES,Phasianidae,Pavo cristatus,0.1592,0.4023,7.8799,Pavo cristatus,Phasianidae,Galliformes,4154.8,28.7,445.2,124.4,403.2,130.0,49.1,1,Terrestrial,both
GALLIFORMES,Phasianidae,Perdix perdix,0.2448,0.381,3.6486,Perdix perdix,Phasianidae,Galliformes,405.3,33.8,151.2,51.0,75.3,39.3,20.9,1,Terrestrial,both
GALLIFORMES,Phasianidae,Phasianus colchicus,0.1632,0.2604,4.2325,Phasianus colchicus,Phasianidae,Galliformes,1120.3,25.8,237.7,61.3,449.8,63.3,35.4,1,Terrestrial,both
GALLIFORMES,Phasianidae,Polyplectron germaini,0.0949,0.4173,4.8322,Polyplectron germaini,Phasianidae,Galliformes,450.0,21.0,190.6,39.1,241.2,60.2,23.6,1,Terrestrial,both
GALLIFORMES,Phasianidae,Syrmaticus reevesii,0.1643,0.3816,4.7926,Syrmaticus reevesii,Phasianidae,Galliformes,1204.6,20.6,248.2,52.8,739.0,69.6,35.3,1,Terrestrial,both
GALLIFORMES,Phasianidae,Tetrao tetrix,0.173,0.4024,5.1333,,,,,,,,,,,,,left_only
GALLIFORMES,Phasianidae,Tetrao urogallus,0.1481,0.3984,5.7557,Tetrao urogallus,Phasianidae,Galliformes,2716.6,33.2,347.3,117.5,257.2,61.9,48.8,1,Generalist,both
GALLIFORMES,Phasianidae,Tetraogallus tibetanus,0.1453,0.5717,6.7428,Tetraogallus tibetanus,Phasianidae,Galliformes,1488.9,43.2,262.8,113.4,146.2,55.9,33.3,1,Terrestrial,both
GALLIFORMES,Phasianidae,Tragopan caboti,0.119,0.3381,5.732,Tragopan caboti,Phasianidae,Galliformes,1122.5,15.9,214.5,34.1,168.8,66.0,28.2,1,Generalist,both
GALLIFORMES,Phasianidae,Tympanuchus cupido,0.1593,0.3454,4.2038,Tympanuchus cupido,Phasianidae,Galliformes,870.1,42.7,204.8,86.4,82.0,41.8,23.5,1,Terrestrial,both
GALLIFORMES,Phasianidae,Tympanuchus phasianellus,0.1599,0.3561,4.2659,Tympanuchus phasianellus,Phasianidae,Galliformes,882.4,39.6,200.6,79.4,103.2,40.0,22.3,1,Terrestrial,both
GAVIIFORMES,Gaviidae,Gavia adamsii,0.22,0.653,8.6519,Gavia adamsii,Gaviidae,Gaviiformes,4944.3,51.0,371.4,190.2,60.8,84.6,104.8,3,Aquatic,both
GAVIIFORMES,Gaviidae,Gavia arctica,0.2064,0.6456,7.9108,Gavia arctica,Gaviidae,Gaviiformes,2251.1,50.8,285.8,145.3,45.0,72.8,71.0,3,Aquatic,both
