Mon.Groups,Family,Species,Common.Name,SP.,BM,Humerus.Length,HC,Femur.Length,FC,HCFC,log.BM,log.HCFC
Ungulata,Bovidae,Bison bison,Bison,AHR1985,1179000,NA,191.5,NA,167.5,359,6.071513805,2.555094449
Ungulata,Bovidae,Bison bonasus,European bison,ZMUC M 2270,310000,350,130,418,122,252,5.491361694,2.401400541
Ungulata,Bovidae,Bos gaurus,Bos gaurus,ROM 82965,545000,343.5,154.5,429,156.5,311,5.736396502,2.492760389
Ungulata,Bovidae,Capra aegagrus,Wild goat,ROM 66884,29500,165.1,58,183.65,58.95,116.95,4.469822016,2.068000226
Ungulata,Bovidae,Capra caucasica,West Caucasian Tur,ROM 88431,116800,240,89,271.5,88,177,5.067442843,2.247973266
Ungulata,Bovidae,Capra ibex,Alpine Ibex,ROM 78825,25420,156.25,54.1,188.9,52.65,106.75,4.405175546,2.028367884
Ungulata,Bovidae,Connochaetes gnou,Black Wildebeest,ROM 88076,108500,209,85.5,251,87,172.5,5.035429738,2.236789099
Ungulata,Bovidae,Connochaetes taurinus,Blue wildebeest,AHR1985,256500,NA,115,NA,100,215,5.409087369,2.33243846
Ungulata,Bovidae,Hemitragus jemlahicus,Himalayan Tahr,ROM 69484,31100,172.5,61.4,184.8,57.8,119.2,4.492760389,2.076276255
Ungulata,Bovidae,Oryx dammah,Scimitar Oryx,ROM 94512,117900,225,95,278,92.5,187.5,5.071513805,2.273001272
Ungulata,Bovidae,Ovibos moschatus,Muskox,ROM 90469,315000,315.5,128,350.5,111,239,5.498310554,2.378397901
Ungulata,Bovidae,Ovis aries,Domestic sheep,ROM 53974,76600,158,74.5,188,79,153.5,4.88422877,2.18610838
Ungulata,Bovidae,Ovis dalli,Dall Sheep,ROM R2980,76200,214.5,82.5,254,81.5,164,4.881954971,2.214843848
Ungulata,Bovidae,Sylvicapra grimmia,Duiker,AHR1985,13860,NA,31,NA,46,77,4.14176323,1.886490725
Ungulata,Bovidae,Tragelaphus angasii,Nyala,AHR1985,134500,NA,99,NA,97,196,5.128722284,2.292256071
Ungulata,Bovidae,Tragelaphus scriptus,Bushbuck,AHR1985,50900,NA,56,NA,62,118,4.706717782,2.071882007
Ungulata,Bovidae,Tragelaphus strepsiceros,Kudu,AHR1985,301000,NA,140,NA,135,275,5.478566496,2.439332694
Ungulata,Camelidae,Camelus bactrianus,Bactrian Camel,ROM 77458,680400,386,220,485,139.5,359.5,5.832764305,2.555698895
Ungulata,Camelidae,Lama guanicoe,Guanaco,ROM 33659,123800,253,100,315,95,195,5.092720645,2.290034611
Ungulata,Cervidae,Alces alces,Moose,ROM 18516,523000,393,145.5,440,144,289.5,5.718501689,2.461648568
Ungulata,Cervidae,Cervus duvaucelii,Barasingha,ROM 94093,225000,265.5,101.5,343,105,206.5,5.352182518,2.314920056
Ungulata,Cervidae,Cervus nippon,Sika Deer,ROM 88428,82200,215,70,263.5,73,143,4.914871818,2.155336037
Ungulata,Cervidae,Elaphurus davidianus,Père David's Deer,ROM 62744,158800,271.5,112.5,340.5,112,224.5,5.200850498,2.351216345
Ungulata,Cervidae,Hydropotes inermis,Water deer,ROM 75959,24290,117.95,33.95,153.7,43.65,77.6,4.385427515,1.889861721
Ungulata,Cervidae,Odocoileus virginianus,White-tailed deer,ROM 59338,66100,216,72,279,77,149,4.820201459,2.173186268
Ungulata,Cervidae,Rangifer tarandus,Caribou,ROM 88934,131900,261.5,90.5,304.5,85.5,176,5.120244796,2.245512668
Ungulata,Equidae,Equus burchelli?,Burchell's zebra,ROM 72119,272400,259,118,363.5,137.5,255.5,5.435207103,2.407390904
Ungulata,Equidae,Equus caballus,Horse (pony),ROM R8138,350000,261.5,118.25,362,139.85,258.1,5.544068044,2.411788005
Ungulata,Equidae,Equus zebra,Cape Mountain zebra,AHR1985,262000,NA,132,NA,143,275,5.418301291,2.439332694
Ungulata,Giraffidae,Giraffa camelopardalis,Giraffe,ROM 99207,990000,495,218,520,188,406,5.995635195,2.608526034
Ungulata,Giraffidae,Okapia johstoni,Okapi,ZMUC M 4221,310000,332,131,355,128,259,5.491361694,2.413299764
Ungulata,Hippopotamidae,Choeropsis liberiensis,Pygmy Hippo,ZMUC M 4117,250000,245,101,268.7,107,208,5.397940009,2.318063335
Ungulata,Hippopotamidae,Hippopotamus amphibius,Hippo,ROM 94513,1264000,422.5,182.5,467,188.5,371,6.101747074,2.56937391
Ungulata,Rhinocerotidae,Ceratotherium simum,White Rhinoceros,ZMUC M 4324,1900000,457,257,559,225,482,6.278753601,2.683047038
Ungulata,Rhinocerotidae,Rhinoceros sondaicus,Javan Rhinoceros,Copenhagen,1435000,425,213,515,206,419,6.156851901,2.622214023
Ungulata,Suidae,Phacochoerus africanus,Warthog,AHR1985,90500,NA,83,NA,72,155,4.956648579,2.190331698
Ungulata,Tapiridae,Tapirus indicus,Malayan Tapir,ROM 94410,250000,257,109,330,115,224,5.397940009,2.350248018
Ungulata,Tapiridae,Tapirus terrestris,South American Tapir,ROM 66623,139300,235.5,94.5,307.5,106,200.5,5.143951116,2.302114377
Xenarthra,Dasypodidae,Dasypus novemcinctus,Nine-banded armadillo,ROM R2385,3077,55.16,22.25,83,29.9,52.15,3.488127496,1.717254313
Xenarthra,Dasypodidae,Priodontes maximus,Giant Armadillo,ROM 46260,29500,125.05,68.25,167.7,78.5,146.75,4.469822016,2.16657811
Xenarthra,Megalonychidae,Choloepus didactylus,Linnaeus's Two-toed Sloth,ROM 31160,6200,166.2,40.25,157.85,43.25,83.5,3.792391689,1.921686475
Xenarthra,Megalonychidae,Choloepus hoffmanni,Hoffmann's Two-toed Sloth,ROM 89635,4500,140.65,32.75,133.45,34.5,67.25,3.653212514,1.827692289
Xenarthra,Myrmecophagidae,Tamandua tetradactyla,Southern Tamandua,ROM 113857,5470,90.7,34.6,91.2,29.8,64.4,3.737987326,1.808885867
Reptilia,Alligatoridae,Alligator mississippiensis,American Alligator,ROM R4411,167830,201.2,88.5,NA,86,174.5,5.224869595,2.241795431
Reptilia,Alligatoridae,Caiman crocodilius,Spectacled Caiman,ROM R6872,22050,91.75,37.3,117.75,43,80.3,4.343408594,1.904715545
Reptilia,Agamidae,Physignathus cocincinus,Chinese water dragon,ROM R7460,259,33.15,8.05,48.7,10.1,18.15,2.413299764,1.258876629
Reptilia,Agamidae,Physignathus leseuri,Australian water dragon,ROM R7463,440,39.7,9.1,55.3,10.9,20,2.643452676,1.301029996
Reptilia,Agamidae,Pogona vitticeps,Central Bearded Dragon,ROM R7400,511,34.65,9.05,38.7,9.5,18.55,2.7084209,1.268343914
Reptilia,Agamidae,Uromastyx aegyptia,Egyptian Mastigure,ROM SD 107,610,46.7,14,50.57,16.1,30.1,2.785329835,1.478566496
Reptilia,Agamidae,Uromastyx maliensis,Mali Spiny-tailed Agama,ROM R7867,512,30.7,9.55,33.85,10.2,19.75,2.709269961,1.2955671
Reptilia,Chamaeleonidae,Chamaeleo calyptratus,Veiled Chameleon,ROM R7875,199,33.75,7.05,33.65,6.5,13.55,2.298853076,1.131939295
