Mon.Groups,Family,Species,Common.Name,SP.,BM,Humerus.Length,HC,Femur.Length,FC,HCFC,log.BM,log.HCFC
Euarchonta,Callitrichidae,Cebuella pygmaea,Pygmy Marmoset,ROM 97068,178,35.77,8.75,40.615,8.85,17.6,2.250420002,1.245512668
Euarchonta,Callitrichidae,Saguinus sp.,Tamarin,ROM 20131,422,52.625,12.2,66.32,13.35,25.55,2.625312451,1.407390904
Euarchonta,Cercopithecidae,Cercopithecus neglectus,De Brazza's Monkey,ROM 111045,11450,149.43,36.95,184.4,39.05,76,4.058805487,1.880813592
Euarchonta,Cercopithecidae,Macaca fuscata,Japanese Macaque,ROM 112298,3500,135.9,30,152.5,31.5,61.5,3.544068044,1.788875116
Euarchonta,Cercopithecidae,Papio cynocephalus,Yellow baboon,AHR1985,28576,NA,55,NA,57,112,4.456001437,2.049218023
Euarchonta,Cercopithecidae,Papio hamadryas,Hamadryas Baboon,ROM 91308,14700,190.85,42.25,224.4,44.5,86.75,4.167317335,1.938269483
Euarchonta,Galagidae,Euoticus elegantulus,Southern Needle-clawed Bushbaby,ROM 55711,260,38.26,11.2,65.34,12,23.2,2.414973348,1.365487985
Euarchonta,Galagidae,Otolemur crassicaudatus,Brown Greater Galago,ROM 64976,950,59.915,16,90.14,19,35,2.977723605,1.544068044
Euarchonta,Hominidae,Pongo Pygmaeus,Orangutan,ROM 82830,155000,368.5,98.5,273,88,186.5,5.190331698,2.270678836
Euarchonta,Hylobatidae,Hylobates lar,Lar Gibbon,ROM 77534,6400,238.05,28.5,203.6,31.45,59.95,3.806179974,1.777789187
Euarchonta,Lemuridae,Eulemur fulvus,Common Brown Lemur,ROM 68120,1192,74.095,16.05,116.44,19.8,35.85,3.076276255,1.55448916
Euarchonta,Lemuridae,Lemur catta,Ring-tailed Lemur,ROM 114614,2300,89.39,21,143.39,26.8,47.8,3.361727836,1.679427897
Euarchonta,Tuapiidae,Tupaia glis,Common Treeshrew,ROM 75961,176,27.3,7,35.85,9.35,16.35,2.245512668,1.213517757
Eulipotyphla,Erinaceidae,Atelerix albiventris,African pygmy hedgehog,ROM R6167,360,33.45,10.95,34.3,15.15,26.1,2.556302501,1.416640507
Eulipotyphla,Erinaceidae,Atelerix algirus,North African Hedgehog,ROM 111451,415,33.8,10.2,34.25,11.7,21.9,2.618048097,1.340444115
Eulipotyphla,Erinaceidae,Echinosorex gymnura,Moonrat,ROM 36803,610,45,11,49.45,13.05,24.05,2.785329835,1.381115081
Eulipotyphla,Erinaceidae,Erinaceus europaeus,European Hedgehog,ROM 79166,717,44.65,15.5,41.35,16.75,32.25,2.855519156,1.508529719
Glires,Aplodontidae,Aplodontia rufa,Mountain Beaver,ROM R6571,953,45.55,15,52.75,15.75,30.75,2.979092901,1.48784512
Glires,Castoridae,Castor canadensis,Canadian Beaver,ROM 111459,12500,78.8,34.5,104.2,49.75,84.25,4.096910013,1.92556991
Glires,Caviidae,Cavia porcellus,Guinea pig,ROM 98958,1200,40.45,12.6,48.5,16,28.6,3.079181246,1.456366033
Glires,Caviidae,Dolichotis patagonum,Patagonian Mara,ROM 90847,8950,113.6,28.6,129.35,35.35,63.95,3.951823035,1.805840549
Glires,Chinchillidae,Chinchilla lanigera,Long-tailed chinchilla,ROM R5786,462,33.3,8.85,54.7,14.8,23.65,2.664641976,1.373831145
Glires,Cricetidae,Dicrostonyx groenlandicus,Northern collared lemming,ROM 96599,103,19.85,6.9,23,7.15,14.05,2.012837225,1.147676324
Glires,Cricetidae,Dicrostonyx hudsonius,Ungava Collared Lemming,ROM 63549,108.8,20,7.1,24.15,8,15.1,2.036628895,1.178976947
Glires,Cricetidae,Dicrostonyx richardsoni,Richardson's Collared Lemming,ROM 96743,95,19.5,5.8,23.35,5.6,11.4,1.977723605,1.056904851
Glires,Cricetidae,Melanomys caliginosus,Dusky Rice Rat,ROM 99943,64,16.95,6,23.35,8.2,14.2,1.806179974,1.152288344
Glires,Cricetidae,Mesocricetus auratus,Hamster,ROM R5623,198,24.3,8.85,29,11,19.85,2.29666519,1.297760511
Glires,Cricetidae,Microtus chrotorrhinus,Rock Vole,ROM 90185,67,15.05,4.85,18.35,5.6,10.45,1.826074803,1.01911629
Glires,Cricetidae,Microtus pennsylvanicus,Meadow Vole,ROM 87854,70,14.6,4.5,18.1,5.7,10.2,1.84509804,1.008600172
Glires,Cricetidae,Microtus richardsoni,Water Vole,ROM 83701,61,16.2,5.2,18.95,6.75,11.95,1.785329835,1.077367905
Glires,Cricetidae,Nectomys squamipes,South American Water Rat,ROM 98049,235,24.45,7.6,37.5,11.8,19.4,2.371067862,1.28780173
Glires,Cricetidae,Neotoma albigula,White-Throated Woodrat,ROM 87452,188.1,27.5,8.45,35.4,11.05,19.5,2.274388796,1.290034611
Glires,Cricetidae,Oryzomys albigularis,Tomes's rice rat,ROM 97316,106,22.5,6,30.35,8,14,2.025305865,1.146128036
Glires,Cricetidae,Oryzomys couesi,Coues' Rice Rat,ROM 97756,102,19.4,7.05,28.7,9.85,16.9,2.008600172,1.227886705
Glires,Cricetidae,Oryzomys megacephalus,Large-headed Rice Rat,ROM 106329,86,19.65,5.75,29.15,7.5,13.25,1.934498451,1.122215878
Glires,Cricetidae,Peromyscus zarhynchus,Chiapan Deer Mouse,ROM 97525,78,19.95,5.55,27.5,7,12.55,1.892094603,1.098643726
Glires,Cricetidae,Rhipidomys leucodactylus,White-footed Climbing Mouse,ROM 107873,110,22.85,7.9,32,10,17.9,2.041392685,1.252853031
Glires,Cricetidae,Sigmodon hispidus,Hispid cotton rat,ROM 95215,163,22.95,6.75,33.6,10,16.75,2.212187604,1.224014811
Glires,Dasyproctidae,Dasyprocta aguti,Agouti,ROM 90845,2230,74.5,20.5,93.95,28,48.5,3.348304863,1.685741739
Glires,Echimyidae,Echimys didelphoides,Brazilian Spiny Tree Rat,ROM 107837,375,30.4,10.1,39.3,13.5,23.6,2.574031268,1.372912003
Glires,Echimyidae,Echimys semivillosus,Speckled Spiny Tree-rat,ROM 107955,350,31.85,10.5,40.75,14.25,24.75,2.544068044,1.393575203
Glires,Echimyidae,Proechimys cuvieri,Cuvier's Spiny-rat,ROM 98086,400,33.35,9.05,45,13.5,22.55,2.602059991,1.353146546
Glires,Erethizontidae,Erethizon dorsatum,Porcupine,ROM R1949,9051,105.1,29.65,121.3,37.4,67.05,3.956696565,1.826398782
Glires,Geomyidae,Geomys bursarius,Plains Pocket Gopher,ROM 72875,167.6,23.25,10.25,26.45,9.15,19.4,2.224274014,1.28780173
Glires,Geomyidae,Orthogeomys hispidus,Hispid Pocket Gopher,ROM 96303,490,34.45,13.95,42.05,14.05,28,2.69019608,1.447158031
Glires,Geomyidae,Thomomys Talpoides,Northern Pocket Gopher,ROM 102659,210,25.65,10.7,28.9,10.3,21,2.322219295,1.322219295
Glires,Heteromyidae,Dipodomys ordii,Ord's Kangaroo Rat,ROM 91990,67,15.8,5.1,29.18,7.35,12.45,1.826074803,1.095169351
Glires,Heteromyidae,Heteromys desmarestianus,Desmarest's Spiny Pocket Mouse,ROM 96134,94,19.3,6.15,28.8,8.9,15.05,1.973127854,1.1775365
Glires,Heteromyidae,Heteromys gaumeri,Gaumer's Spiny Pocket Mouse,ROM 95659,81,19.6,6,28.1,8.2,14.2,1.908485019,1.152288344
Glires,Heteromyidae,Heteromys goldmani,Goldman's Spiny Pocket Mouse,ROM 97674,82,20.65,6.1,29.1,8.7,14.8,1.913813852,1.170261715
Glires,Hydrochaeridae,Hydrochaeris hydrochaeris,Capybara,ROM 73588,56500,191.5,60.5,223.5,70.5,131,4.752048448,2.117271296
Glires,Leporidae,Lepus americanus,Snowshoe Hare,ROM 82454,1294,75.7,14.5,98.25,19.65,34.15,3.111934276,1.533390708
Glires,Leporidae,Lepus arcticus,Arctic Hare,ROM 94615,4500,109.15,22,129.2,30,52,3.653212514,1.716003344
Glires,Leporidae,Lepus californicus,Blacktail jackrabbit,ROM R6444,1535,83.6,17.8,107.55,12.3,30.1,3.18610838,1.478566496
Glires,Leporidae,Lepus europaeus,European Hare,ROM 93105,3402,108.1,24.75,137.9,33.75,58.5,3.531734309,1.767155866
Glires,Leporidae,Lepus townsendii,White-tailed Jackrabbit,ROM 91969,4300,102.6,20.75,125.85,28.25,49,3.633468456,1.69019608
Glires,Leporidae,Oryctolagus cuniculus,European Rabbit,ROM 84051,1900,68.55,15.5,88.8,20,35.5,3.278753601,1.550228353
