Clade,Taxon,Recon.Method,Recon.BM,Gait,HCFC,HC,FC
Theropoda,Tyrannosaurus rex,Scan,9940430,bip,,,505
Theropoda,Tyrannosaurus rex,Scan,8899450,bip,,,505
Theropoda,Tyrannosaurus rex,Scan,6904670,bip,,,505
Theropoda,Tyrannosaurus rex,Scan,6071820,bip,,,520
Theropoda,Tyrannosaurus rex,Scan,7699530,bip,,,520
Theropoda,Tyrannosaurus rex,Scan,6956060,bip,,,520
Theropoda,Tyrannosaurus rex,Scan,5579700,bip,,,520
Theropoda,Tyrannosaurus rex,Physical,6325000,bip,,,520
Theropoda,Tyrannosaurus rex,Physical,5376000,bip,,,520
Theropoda,Tyrannosaurus rex,Slicing,10200000,bip,,,579
Theropoda,Tyrannosaurus rex,Slicing,7908000,bip,,,534
Theropoda,Tyrannosaurus rex,Slicing,7224000,bip,,,520
Theropoda,Tyrannosaurus rex,Slicing,8033000,bip,,,534
Theropoda,Tyrannosaurus rex,Scan,5450000,bip,,,520
Theropoda,Tyrannosaurus rex,Scan,5074000,bip,,,520
Theropoda,Tyrannosaurus rex,Scan,8405000,bip,,,520
Theropoda,Tyrannosaurus rex,Scan,6583000,bip,,,520
Theropoda,Tyrannosaurus rex,Scan,8385000,bip,,,505
Theropoda,Tyrannosaurus rex,Scan,5934000,bip,,,505
Theropoda,Tyrannosaurus rex,Scan,10837000,bip,,,505
Theropoda,Tyrannosaurus rex,Scan,954000,bip,,,250
Theropoda,Tyrannosaurus rex,Scan,639000,bip,,,250
Theropoda,Tyrannosaurus rex,Scan,1269000,bip,,,250
Theropoda,Tyrannosaurus rex,Scan,9081000,bip,,,534
Theropoda,Tyrannosaurus rex,Scan,7394000,bip,,,534
Theropoda,Tyrannosaurus rex,Scan,14564000,bip,,,534
Theropoda,Tyrannosaurus rex,Scan,13996000,bip,,,579
Theropoda,Tyrannosaurus rex,Scan,9502000,bip,,,579
Theropoda,Tyrannosaurus rex,Scan,18489000,bip,,,579
Theropoda,Tyrannosaurus rex,Scan,8272000,bip,,,520
Theropoda,Tyrannosaurus rex,Scan,5777000,bip,,,520
Theropoda,Tyrannosaurus rex,Scan,10768000,bip,,,520
Theropoda,Tyrannosaurus rex,Physical,5670000,bip,,,534
Theropoda,Tyrannosaurus rex,Physical,5355000,bip,,,520
Theropoda,Tyrannosaurus rex,Physical,5622000,bip,,,505
Theropoda,Tyrannosaurus rex,Physical,6140000,bip,,,579
Theropoda,Tyrannosaurus rex,Polynomial,6650900,bip,,,534
Theropoda,Tyrannosaurus rex,MCH,6957836,bip,,,505
Theropoda,Tyrannosaurus rex,MCH,7455156,bip,,,505
Theropoda,Tyrannosaurus rex,MCH,7206496,bip,,,505
Theropoda,Tyrannosaurus rex,Slicing,9130870,bip,,,579
Theropoda,Tyrannosaurus rex,Slicing,9657000,bip,,,579
Theropoda,Tyrannosaurus rex,Slicing,6986600,bip,,,534
Theropoda,Tyrannosaurus rex,Slicing,7458000,bip,,,534
Theropoda,Tyrannosaurus rex,Slicing,660230,bip,,,250
