order,n,HWI,HWI_se,HWI_p,mass,mass_se,mass_p,R2
PASSERIFORMES,588,0.0005444642326260128,0.0003015894090319401,0.07153921462358852,0.06225704365983421,0.007072685712356293,1.5071601724415878e-17,0.13877222368369713
CHARADRIIFORMES,133,0.0013939239291523825,0.0006275949738287903,0.02807805566247835,0.05711870827543606,0.014201140548703993,9.725084495183977e-05,0.15347137675338784
ANSERIFORMES,41,0.004088896801008648,0.0013224579554304262,0.0037154403020934514,0.17766095685384597,0.02176269656726859,6.958562407792212e-10,0.6490241094160466
GALLIFORMES,41,-1.4905176860015301e-05,0.0020041989767335235,0.9941051144275169,0.0897835100201024,0.03922456050345141,0.027729597308997437,0.12118299075230754
ACCIPITRIFORMES,39,-0.0031457035647522815,0.0016978070861986307,0.07212233119135245,0.09548196113750304,0.025214066243121058,0.0005587799216547946,0.31056845375042685
COLUMBIFORMES,37,-0.0040087558888148795,0.0020701623524997286,0.06116087640567898,0.13157338657740317,0.045199655932309644,0.006317790261089875,0.20123538896299853
